"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Brady","","681","0.163","0.261","0.244","52.3%","66.6","62.9","3.7","9.1"
"2","D.Watson","","279","0.161","0.277","0.223","49.8%","62.4","60.1","2.3","11.1"
"3","C.Wentz","","550","0.143","0.257","0.243","49.6%","60.8","60.4","0.4","10.0"
"4","D.Brees","","595","0.141","0.191","0.179","49.7%","73.0","68.3","4.7","6.4"
"5","A.Smith","","618","0.139","0.181","0.177","48.5%","69.5","64.5","5.0","7.8"
"6","P.Rivers","","633","0.134","0.226","0.220","49.8%","63.7","62.7","1.0","8.4"
"7","B.Roethlisberger","","630","0.132","0.192","0.180","50.8%","64.9","62.0","2.9","9.0"
"8","C.Keenum","","569","0.131","0.181","0.172","49.2%","68.4","64.8","3.6","7.6"
"9","M.Ryan","","601","0.128","0.182","0.159","50.7%","66.3","63.3","3.0","8.9"
"10","J.Goff","","541","0.122","0.220","0.201","46.6%","63.1","64.0","-0.9","8.0"
"11","J.Winston","","528","0.120","0.132","0.110","50.9%","64.8","59.9","4.9","10.7"
"12","A.Rodgers","","301","0.113","0.172","0.136","51.8%","65.8","65.0","0.8","7.0"
"13","J.McCown","","479","0.107","0.089","0.061","46.1%","68.9","63.4","5.5","7.8"
"14","R.Wilson","","728","0.106","0.099","0.081","46.7%","64.7","60.1","4.6","9.9"
"15","M.Stafford","","675","0.089","0.112","0.082","47.0%","66.3","65.6","0.6","8.0"
"16","M.Mariota","","559","0.080","0.088","0.057","47.2%","63.4","62.7","0.7","9.0"
"17","K.Cousins","","641","0.079","0.082","0.060","46.2%","65.0","64.1","0.8","7.7"
"18","B.Bortles","","622","0.075","0.127","0.113","47.4%","61.4","64.3","-2.9","7.8"
"19","T.Taylor","","564","0.074","0.063","0.054","42.6%","63.5","62.3","1.3","8.6"
"20","D.Prescott","","621","0.069","0.071","0.031","45.9%","63.9","64.1","-0.2","8.0"
"21","D.Carr","","588","0.067","0.067","0.063","45.1%","63.3","63.6","-0.3","8.3"
"22","C.Newton","","682","0.057","0.070","0.048","45.0%","60.2","62.6","-2.3","8.6"
"23","C.Palmer","","318","0.056","0.034","0.014","45.6%","61.7","61.7","-0.0","9.3"
"24","J.Cutler","","478","0.039","-0.011","-0.035","43.5%","63.3","63.7","-0.4","8.4"
"25","A.Dalton","","581","0.032","-0.012","-0.029","43.0%","62.7","64.3","-1.7","8.3"
"26","J.Flacco","","605","0.029","-0.030","-0.056","43.0%","64.8","66.0","-1.2","6.8"
"27","T.Siemian","","430","0.028","-0.030","-0.062","41.9%","60.6","62.1","-1.5","8.7"
"28","J.Brissett","","599","0.012","-0.027","-0.055","41.1%","60.8","65.2","-4.5","7.5"
"29","B.Hundley","","398","0.008","-0.108","-0.125","43.0%","61.5","64.6","-3.0","7.6"
"30","E.Manning","","643","0.008","-0.073","-0.087","44.0%","62.1","65.7","-3.6","7.3"
"31","M.Trubisky","","424","-0.002","-0.076","-0.093","40.6%","60.1","65.5","-5.4","7.8"
"32","D.Kizer","","629","-0.010","-0.097","-0.119","39.0%","54.3","60.6","-6.3","9.0"
"33","C.Beathard","","274","-0.014","-0.094","-0.119","40.9%","55.7","62.8","-7.1","7.4"
