"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","609","0.175","0.265","0.259","52.1%","71.8","66.0","5.8","7.8"
"2","J.Burrow","","637","0.162","0.218","0.186","49.3%","72.3","65.7","6.6","8.3"
"3","P.Mahomes","","786","0.146","0.232","0.221","53.4%","70.3","67.6","2.7","7.3"
"4","J.Garoppolo","","515","0.140","0.216","0.203","49.9%","70.7","68.0","2.6","7.7"
"5","T.Brady","","786","0.139","0.229","0.217","52.4%","68.9","67.2","1.7","8.1"
"6","M.Stafford","","674","0.129","0.227","0.201","50.9%","67.8","67.9","-0.1","8.5"
"7","T.Bridgewater","","500","0.128","0.168","0.157","49.0%","70.4","66.5","3.9","8.0"
"8","K.Murray","","625","0.124","0.151","0.132","49.3%","72.2","68.0","4.2","8.0"
"9","J.Herbert","","798","0.122","0.218","0.197","51.1%","67.4","68.0","-0.6","7.5"
"10","J.Allen","","825","0.121","0.176","0.169","51.5%","66.6","64.5","2.1","8.5"
"11","M.Jones","","616","0.114","0.154","0.123","50.5%","68.9","66.5","2.4","8.1"
"12","R.Tannehill","","655","0.113","0.151","0.132","52.2%","68.8","66.4","2.4","7.4"
"13","D.Prescott","","709","0.112","0.149","0.137","49.6%","70.0","67.7","2.3","7.8"
"14","K.Cousins","","637","0.108","0.151","0.137","46.0%","69.3","67.9","1.4","8.0"
"15","D.Carr","","731","0.105","0.132","0.107","48.3%","71.2","69.0","2.2","8.2"
"16","R.Wilson","","494","0.093","0.084","0.075","45.7%","67.1","63.9","3.2","9.9"
"17","J.Hurts","","613","0.088","0.117","0.101","47.3%","64.8","64.7","0.1","8.8"
"18","T.Tagovailoa","","466","0.085","0.081","0.062","48.5%","69.2","67.3","1.9","7.2"
"19","L.Jackson","","563","0.084","0.098","0.084","49.6%","66.3","65.6","0.7","9.4"
"20","M.Ryan","","663","0.071","0.046","0.031","47.4%","69.2","67.4","1.8","7.2"
"21","C.Wentz","","636","0.070","0.103","0.084","46.9%","64.8","66.9","-2.1","7.8"
"22","T.Heinicke","","616","0.053","0.018","0.001","46.8%","66.9","66.6","0.3","7.7"
"23","B.Mayfield","","515","0.048","0.051","0.044","44.9%","63.3","66.0","-2.7","8.8"
"24","D.Jones","","465","0.048","0.022","0.012","44.9%","66.9","67.7","-0.8","7.0"
"25","J.Goff","","569","0.039","-0.031","-0.048","46.2%","71.1","70.5","0.6","6.6"
"26","B.Roethlisberger","","689","0.033","0.003","-0.017","41.7%","65.4","67.8","-2.4","6.8"
"27","D.Mills","","470","0.025","-0.082","-0.090","43.8%","69.6","69.8","-0.2","7.3"
"28","J.Brissett","","278","0.025","-0.027","-0.034","44.6%","65.0","67.2","-2.2","7.7"
"29","A.Dalton","","275","0.014","-0.026","-0.077","43.6%","65.6","69.8","-4.2","7.0"
"30","J.Fields","","395","0.014","-0.104","-0.126","42.5%","60.9","62.9","-2.0","9.7"
"31","T.Lawrence","","733","0.010","-0.030","-0.045","45.3%","61.8","66.6","-4.8","7.9"
"32","S.Darnold","","503","-0.002","-0.096","-0.122","43.1%","63.0","67.9","-4.9","7.4"
"33","Z.Wilson","","473","-0.029","-0.139","-0.148","38.7%","58.2","67.8","-9.6","7.7"
