"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","609","0.217","0.370","0.362","55.2%","74.3","67.1","7.2","8.0"
"2","J.Allen","","727","0.190","0.292","0.283","56.3%","72.3","65.7","6.6","8.6"
"3","R.Tannehill","","567","0.183","0.340","0.329","55.6%","67.9","65.2","2.7","8.3"
"4","P.Mahomes","","694","0.179","0.323","0.311","55.0%","68.4","65.6","2.8","8.4"
"5","T.Brady","","682","0.166","0.274","0.249","50.9%","68.0","64.4","3.6","9.2"
"6","D.Watson","","698","0.166","0.228","0.219","53.4%","73.0","66.5","6.5","8.9"
"7","R.Fitzpatrick","","318","0.156","0.247","0.245","56.0%","69.3","65.9","3.4","7.8"
"8","R.Wilson","","702","0.152","0.188","0.165","51.3%","72.2","65.3","6.8","8.4"
"9","K.Cousins","","610","0.150","0.216","0.188","52.8%","72.0","67.4","4.6","8.0"
"10","B.Mayfield","","575","0.139","0.211","0.197","52.7%","67.3","64.5","2.8","8.7"
"11","D.Carr","","608","0.139","0.214","0.173","52.0%","70.9","68.3","2.6","8.3"
"12","P.Rivers","","596","0.133","0.226","0.212","50.7%","70.0","69.3","0.7","7.3"
"13","D.Brees","","422","0.131","0.209","0.190","50.9%","72.6","71.0","1.6","6.2"
"14","L.Jackson","","575","0.122","0.194","0.185","48.0%","66.7","65.6","1.0","8.7"
"15","K.Murray","","736","0.116","0.160","0.139","50.3%","71.0","68.8","2.2","8.0"
"16","T.Bridgewater","","598","0.113","0.127","0.109","49.8%","72.5","68.5","4.0","7.3"
"17","J.Herbert","","703","0.110","0.177","0.172","48.8%","68.3","68.3","0.0","7.4"
"18","M.Ryan","","722","0.107","0.150","0.146","48.9%","67.5","66.3","1.2","8.5"
"19","J.Burrow","","485","0.106","0.136","0.122","49.1%","67.3","65.2","2.1","8.4"
"20","M.Stafford","","619","0.105","0.180","0.152","50.6%","66.5","67.5","-1.0","8.9"
"21","G.Minshew II","","394","0.102","0.092","0.087","47.5%","69.9","65.6","4.3","8.0"
"22","M.Trubisky","","354","0.098","0.130","0.117","53.4%","67.9","66.8","1.1","7.8"
"23","B.Roethlisberger","","672","0.087","0.132","0.122","47.9%","65.8","66.9","-1.1","6.9"
"24","J.Goff","","626","0.083","0.093","0.060","48.7%","70.5","69.6","0.9","6.7"
"25","C.Newton","","545","0.063","0.066","0.048","48.8%","68.2","69.2","-1.0","7.0"
"26","N.Mullens","","365","0.059","0.080","0.023","47.7%","66.1","68.7","-2.6","6.4"
"27","A.Dalton","","398","0.057","0.041","0.021","48.5%","67.9","68.3","-0.4","6.8"
"28","T.Tagovailoa","","352","0.055","0.046","0.034","48.3%","66.2","67.4","-1.2","7.8"
"29","N.Foles","","348","0.043","-0.038","-0.051","41.7%","67.6","65.9","1.7","8.1"
"30","D.Jones","","577","0.035","0.007","-0.019","45.6%","64.8","67.1","-2.2","7.7"
"31","D.Lock","","518","0.024","0.027","-0.007","43.6%","59.6","65.2","-5.5","9.0"
"32","A.Smith","","290","0.022","-0.079","-0.094","42.8%","70.6","71.4","-0.8","5.2"
"33","S.Darnold","","447","0.014","-0.100","-0.120","42.3%","64.2","66.1","-1.9","7.8"
"34","C.Wentz","","565","0.012","-0.054","-0.075","42.5%","60.2","63.7","-3.5","9.0"
"35","D.Haskins","","280","-0.004","-0.085","-0.112","40.0%","63.2","68.7","-5.5","6.8"
