"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.Goff","","603","0.189","0.303","0.292","54.1%","76.5","70.8","5.7","6.6"
"2","L.Jackson","","653","0.184","0.310","0.296","52.4%","69.6","65.1","4.6","8.8"
"3","J.Allen","","638","0.171","0.332","0.321","52.2%","66.9","66.0","0.8","8.4"
"4","J.Burrow","","776","0.169","0.232","0.212","53.2%","73.2","66.5","6.8","7.2"
"5","J.Hurts","","552","0.149","0.171","0.161","50.2%","74.3","66.7","7.5","7.9"
"6","B.Mayfield","","697","0.147","0.222","0.209","52.4%","72.4","68.8","3.6","6.9"
"7","T.Tagovailoa","","451","0.145","0.214","0.200","53.2%","75.0","71.2","3.8","5.8"
"8","J.Daniels","","699","0.141","0.206","0.202","49.4%","71.8","68.3","3.5","7.4"
"9","B.Purdy","","570","0.133","0.208","0.198","51.8%","68.2","66.1","2.1","8.7"
"10","J.Love","","485","0.127","0.211","0.192","49.1%","65.2","64.6","0.6","9.0"
"11","P.Mahomes","","695","0.124","0.178","0.165","50.9%","70.9","68.3","2.6","6.4"
"12","D.Carr","","318","0.122","0.162","0.149","43.7%","72.1","68.9","3.3","8.2"
"13","S.Darnold","","687","0.121","0.151","0.127","50.9%","70.2","66.4","3.9","8.7"
"14","J.Herbert","","627","0.116","0.166","0.164","47.4%","68.5","66.5","1.9","8.6"
"15","K.Murray","","682","0.116","0.161","0.150","51.3%","71.4","69.3","2.1","7.0"
"16","G.Smith","","713","0.110","0.094","0.075","48.7%","73.5","67.8","5.6","7.1"
"17","M.Stafford","","594","0.087","0.126","0.118","50.5%","68.0","68.7","-0.7","7.5"
"18","K.Cousins","","524","0.084","0.094","0.065","49.2%","69.3","68.4","1.0","7.7"
"19","R.Wilson","","416","0.084","0.041","0.019","43.3%","69.9","65.5","4.5","7.8"
"20","B.Nix","","702","0.081","0.093","0.090","45.3%","68.9","68.3","0.6","7.4"
"21","J.Flacco","","291","0.080","0.082","0.049","47.4%","66.9","65.9","1.1","8.9"
"22","M.Rudolph","","279","0.071","0.070","0.049","49.5%","68.2","68.0","0.2","7.5"
"23","D.Maye","","459","0.067","0.018","-0.007","47.5%","69.9","67.0","2.8","7.6"
"24","T.Lawrence","","334","0.060","0.058","0.054","45.5%","63.2","64.2","-1.0","9.3"
"25","A.Rodgers","","679","0.059","0.079","0.057","44.3%","64.8","67.4","-2.6","6.8"
"26","B.Young","","475","0.054","0.015","0.008","41.9%","65.2","64.5","0.7","8.7"
"27","D.Jones","","450","0.053","0.000","-0.020","46.2%","68.1","66.7","1.5","7.5"
"28","D.Prescott","","341","0.050","0.028","0.018","44.3%","66.8","67.6","-0.9","7.9"
"29","J.Winston","","354","0.047","0.035","-0.016","44.9%","62.8","64.6","-1.8","9.1"
"30","M.Jones","","315","0.044","0.006","0.002","43.5%","68.4","68.9","-0.5","7.6"
"31","C.Williams","","750","0.039","-0.017","-0.026","41.6%","67.2","67.3","-0.1","7.9"
"32","C.Stroud","","656","0.036","0.001","-0.007","42.4%","66.0","67.7","-1.7","8.2"
"33","G.Minshew II","","370","0.033","-0.056","-0.113","45.4%","72.2","71.7","0.5","6.2"
"34","A.O'Connell","","284","0.023","-0.006","-0.010","45.4%","66.4","70.0","-3.6","7.8"
"35","W.Levis","","403","0.022","-0.115","-0.173","38.2%","65.1","65.5","-0.4","9.0"
"36","D.Watson","","298","0.014","-0.222","-0.233","34.6%","65.2","67.5","-2.2","7.2"
"37","C.Rush","","362","-0.013","-0.049","-0.082","42.0%","61.7","69.8","-8.1","6.9"
"38","S.Rattler","","285","-0.025","-0.191","-0.219","38.9%","61.0","70.1","-9.1","7.7"
"39","A.Richardson","","372","-0.025","-0.035","-0.051","40.6%","50.6","61.5","-10.9","12.3"
